Messstelle 3241 9874, Grundwasserstand in m über NHN92
 
01.04.1954;     27,04
15.04.1954;     27,29
01.05.1954;     27,19
15.05.1954;     27,16
01.06.1954;     27,09
15.06.1954;     27,23
01.07.1954;     27,13
15.07.1954;     26,98
01.08.1954;     26,94
15.08.1954;     26,92
01.09.1954;     27,03
15.09.1954;     26,97
01.10.1954;     26,79
15.10.1954;     26,80
01.11.1954;     26,84
15.11.1954;     26,89
01.12.1954;     26,89
15.12.1954;     26,96
01.01.1955;     26,99
15.01.1955;     26,89
01.02.1955;     26,98
15.02.1955;     27,02
01.03.1955;     27,06
15.03.1955;     27,12
01.04.1955;     27,35
15.04.1955;     27,40
01.05.1955;     27,10
15.05.1955;     27,16
01.06.1955;     26,92
15.06.1955;     27,25
01.07.1955;     27,13
15.07.1955;     27,10
01.08.1955;     27,00
15.08.1955;     26,89
01.09.1955;     26,88
15.09.1955;     26,84
01.10.1955;     26,82
15.10.1955;     26,79
01.11.1955;     26,91
15.11.1955;     26,77
01.12.1955;     26,76
15.12.1955;     26,89
01.01.1956;     27,15
15.01.1956;     27,12
01.02.1956;     27,06
15.02.1956;     27,02
01.03.1956;     26,94
15.03.1956;     26,94
01.07.1956;     27,42
01.10.1956;     26,99
15.10.1956;     26,96
01.11.1956;     27,09
15.11.1956;     27,12
01.12.1956;     27,24
01.05.1957;     27,20
15.05.1957;     27,09
01.06.1957;     26,91
15.06.1957;     26,96
01.07.1957;     27,04
15.07.1957;     26,93
01.08.1957;     26,74
15.08.1957;     26,66
01.09.1957;     26,71
15.09.1957;     26,65
01.10.1957;     26,79
15.10.1957;     26,75
01.11.1957;     26,71
15.11.1957;     26,78
01.12.1957;     26,80
15.12.1957;     26,83
01.01.1958;     26,84
15.01.1958;     27,09
01.02.1958;     26,97
15.02.1958;     27,16
01.03.1958;     27,21
15.03.1958;     27,16
01.04.1958;     27,04
15.04.1958;     26,95
01.05.1958;     26,82
15.05.1958;     26,85
01.06.1958;     26,91
15.06.1958;     26,87
01.07.1958;     27,01
15.07.1958;     27,00
01.08.1958;     26,86
15.08.1958;     26,83
01.09.1958;     26,95
15.09.1958;     26,81
01.10.1958;     26,85
15.10.1958;     26,83
01.11.1958;     26,69
15.11.1958;     26,65
01.12.1958;     26,66
15.12.1958;     26,72
01.01.1959;     26,72
15.01.1959;     26,90
01.02.1959;     26,85
15.02.1959;     26,87
01.03.1959;     26,72
15.03.1959;     26,72
01.04.1959;     26,71
15.04.1959;     26,76
01.05.1959;     26,71
15.05.1959;     26,73
01.06.1959;     26,63
15.06.1959;     26,62
01.07.1959;     26,68
15.07.1959;     26,72
01.08.1959;     26,91
15.08.1959;     26,63
01.09.1959;     26,75
15.09.1959;     26,77
01.10.1959;     26,65
15.10.1959;     26,52
01.11.1959;     26,54
15.11.1959;     26,72
01.12.1959;     26,82
15.12.1959;     26,81
01.01.1960;     26,68
15.01.1960;     27,02
01.02.1960;     26,97
15.02.1960;     26,91
01.03.1960;     26,81
15.03.1960;     26,83
01.04.1960;     26,90
15.04.1960;     26,88
01.05.1960;     26,74
15.05.1960;     26,69
01.06.1960;     26,90
15.06.1960;     27,10
01.07.1960;     27,11
15.07.1960;     27,14
01.08.1960;     26,69
15.08.1960;     26,77
01.09.1960;     26,65
15.09.1960;     26,67
01.10.1960;     26,99
15.10.1960;     26,86
01.11.1960;     26,84
15.11.1960;     26,85
01.12.1960;     27,01
15.12.1960;     27,22
01.01.1961;     27,27
15.01.1961;     27,30
01.02.1961;     27,04
15.02.1961;     27,41
01.03.1961;     27,28
15.03.1961;     27,15
01.04.1961;     27,09
15.04.1961;     27,07
01.05.1961;     26,97
15.05.1961;     27,04
01.06.1961;     26,90
15.06.1961;     27,30
01.07.1961;     27,02
15.07.1961;     26,94
01.08.1961;     26,85
15.08.1961;     26,85
01.09.1961;     26,84
15.09.1961;     26,83
01.10.1961;     26,70
15.10.1961;     26,66
01.11.1961;     26,80
15.11.1961;     26,94
01.12.1961;     27,15
15.12.1961;     27,33
01.01.1962;     27,07
15.01.1962;     27,09
01.02.1962;     27,41
15.02.1962;     27,54
01.03.1962;     27,35
15.03.1962;     27,29
01.04.1962;     27,25
15.04.1962;     27,20
01.05.1962;     27,06
15.05.1962;     26,96
01.06.1962;     26,86
15.06.1962;     26,86
01.07.1962;     26,84
15.07.1962;     27,06
01.08.1962;     26,95
15.08.1962;     26,84
01.09.1962;     26,79
15.09.1962;     26,75
01.10.1962;     26,68
15.10.1962;     26,63
01.11.1962;     26,63
15.11.1962;     26,64
01.12.1962;     26,68
15.12.1962;     26,80
01.01.1963;     26,80
15.01.1963;     26,81
15.08.1963;     27,01
01.09.1963;     26,90
15.09.1963;     26,73
01.10.1963;     26,81
01.11.1963;     26,72
15.11.1963;     26,72
01.12.1963;     26,84
15.12.1963;     26,75
01.01.1964;     26,72
15.01.1964;     26,72
01.02.1964;     26,82
15.02.1964;     26,94
01.03.1964;     26,75
15.03.1964;     26,65
01.04.1964;     26,89
15.04.1964;     26,89
01.05.1964;     26,75
15.05.1964;     26,80
01.06.1964;     26,72
15.06.1964;     26,83
01.07.1964;     26,82
15.07.1964;     26,87
01.08.1964;     26,88
15.08.1964;     27,08
01.09.1964;     27,09
15.09.1964;     26,98
01.10.1964;     26,78
15.10.1964;     26,84
01.11.1964;     26,86
15.11.1964;     26,85
01.12.1964;     26,59
15.12.1964;     26,61
01.01.1965;     26,66
15.01.1965;     26,85
01.02.1965;     26,89
15.02.1965;     26,92
01.03.1965;     26,85
15.03.1965;     26,79
01.04.1965;     27,17
15.04.1965;     27,17
01.05.1965;     27,33
15.05.1965;     27,28
01.06.1965;     26,95
15.06.1965;     27,10
01.07.1965;     27,17
15.07.1965;     27,01
01.08.1965;     27,00
15.08.1965;     27,00
01.09.1965;     26,93
15.09.1965;     27,04
01.10.1965;     27,05
15.10.1965;     26,97
01.11.1965;     26,85
15.11.1965;     26,84
01.12.1965;     27,02
15.12.1965;     27,17
01.01.1966;     27,18
15.01.1966;     27,11
01.02.1966;     26,97
15.02.1966;     27,51
01.03.1966;     27,64
