Messstelle 3241 9840, Grundwasserstand in m über NHN92
 
01.04.1954;     28,75
15.04.1954;     28,71
01.05.1954;     28,52
15.05.1954;     28,47
01.06.1954;     28,45
15.06.1954;     28,37
01.07.1954;     28,23
15.07.1954;     28,53
01.08.1954;     28,63
15.08.1954;     28,66
01.09.1954;     28,67
15.09.1954;     28,70
01.10.1954;     28,64
15.10.1954;     28,68
01.11.1954;     28,72
15.11.1954;     28,75
01.12.1954;     28,77
15.12.1954;     28,76
01.01.1955;     28,86
15.01.1955;     28,79
01.02.1955;     28,83
15.02.1955;     28,83
01.03.1955;     28,88
15.03.1955;     28,93
01.04.1955;     29,00
15.04.1955;     29,03
01.05.1955;     28,90
15.05.1955;     28,86
01.06.1955;     28,66
15.06.1955;     28,99
01.07.1955;     28,92
15.07.1955;     28,89
01.08.1955;     28,85
15.08.1955;     28,75
01.09.1955;     28,65
15.09.1955;     28,61
01.10.1955;     28,53
15.10.1955;     28,50
01.11.1955;     28,78
15.11.1955;     28,75
01.12.1955;     28,73
15.12.1955;     28,90
01.01.1956;     28,95
15.01.1956;     28,85
01.02.1956;     28,81
15.02.1956;     28,79
01.03.1956;     28,77
15.03.1956;     28,80
01.10.1956;     28,85
15.10.1956;     28,83
01.11.1956;     28,94
15.11.1956;     28,97
01.12.1956;     29,06
01.01.1957;     28,85
15.01.1957;     29,10
01.02.1957;     29,10
15.02.1957;     29,13
01.03.1957;     28,98
15.03.1957;     28,97
01.04.1957;     29,04
15.04.1957;     28,99
01.05.1957;     28,93
15.05.1957;     28,82
01.06.1957;     28,83
15.06.1957;     28,78
01.07.1957;     28,69
15.07.1957;     28,70
01.08.1957;     28,72
15.08.1957;     28,64
01.09.1957;     28,74
15.09.1957;     28,75
01.10.1957;     28,76
15.10.1957;     28,70
01.11.1957;     28,70
15.11.1957;     28,73
01.12.1957;     28,75
15.12.1957;     28,77
01.01.1958;     28,81
15.01.1958;     28,92
01.02.1958;     28,85
15.02.1958;     29,07
01.03.1958;     29,02
15.03.1958;     29,00
01.04.1958;     28,96
15.04.1958;     28,92
01.05.1958;     28,85
15.05.1958;     28,96
01.06.1958;     28,99
15.06.1958;     28,69
01.07.1958;     28,93
15.07.1958;     28,84
01.08.1958;     28,79
15.08.1958;     28,70
01.09.1958;     28,73
15.09.1958;     28,75
01.10.1958;     28,73
15.10.1958;     28,72
01.11.1958;     28,61
15.11.1958;     28,61
01.12.1958;     28,58
15.12.1958;     28,76
01.01.1959;     28,73
15.01.1959;     28,67
01.02.1959;     28,74
15.02.1959;     28,60
01.03.1959;     28,77
15.03.1959;     28,65
01.04.1959;     28,56
15.04.1959;     28,50
01.05.1959;     28,70
15.05.1959;     28,50
01.06.1959;     28,37
15.06.1959;     28,30
01.07.1959;     28,24
15.07.1959;     28,19
01.08.1959;     28,30
15.08.1959;     28,67
01.09.1959;     28,43
15.09.1959;     28,34
01.10.1959;     28,27
15.10.1959;     28,27
01.11.1959;     28,52
15.11.1959;     28,46
01.12.1959;     28,55
15.12.1959;     28,47
01.01.1960;     28,64
15.01.1960;     28,61
01.02.1960;     28,71
15.02.1960;     28,65
01.03.1960;     28,73
15.03.1960;     28,72
01.04.1960;     28,63
15.04.1960;     28,67
01.05.1960;     28,59
15.05.1960;     28,46
01.06.1960;     28,36
15.06.1960;     28,36
01.07.1960;     28,38
15.07.1960;     28,38
01.08.1960;     28,43
15.08.1960;     28,45
01.09.1960;     28,48
15.09.1960;     28,30
01.10.1960;     28,31
15.10.1960;     28,37
01.11.1960;     28,64
15.11.1960;     28,72
01.12.1960;     28,81
15.12.1960;     28,89
01.01.1961;     28,92
15.01.1961;     29,03
01.02.1961;     28,84
15.02.1961;     29,07
01.03.1961;     29,00
15.03.1961;     28,99
01.04.1961;     29,09
15.04.1961;     29,01
01.05.1961;     28,86
15.05.1961;     29,01
01.06.1961;     29,03
15.06.1961;     29,17
01.07.1961;     28,98
15.07.1961;     28,90
01.08.1961;     28,97
15.08.1961;     29,03
01.09.1961;     28,85
15.09.1961;     28,81
01.10.1961;     28,77
15.10.1961;     28,74
01.11.1961;     28,89
15.11.1961;     28,95
01.12.1961;     29,11
15.12.1961;     29,00
01.01.1962;     28,98
15.01.1962;     29,11
01.02.1962;     29,19
15.02.1962;     29,18
01.03.1962;     29,13
15.03.1962;     29,12
01.04.1962;     29,12
15.04.1962;     29,14
01.05.1962;     29,02
15.05.1962;     29,05
01.06.1962;     29,01
15.06.1962;     29,07
01.07.1962;     28,81
15.07.1962;     28,89
01.08.1962;     28,78
15.08.1962;     28,77
01.09.1962;     28,70
15.09.1962;     28,67
01.10.1962;     28,62
15.10.1962;     28,60
01.11.1962;     28,61
15.11.1962;     28,59
01.12.1962;     28,59
15.12.1962;     28,81
01.01.1963;     28,51
15.01.1963;     28,45
15.08.1963;     28,28
01.09.1963;     28,41
15.09.1963;     28,30
01.10.1963;     28,43
01.11.1963;     28,32
15.11.1963;     28,49
01.12.1963;     28,55
15.12.1963;     28,48
01.01.1964;     28,51
15.01.1964;     28,48
01.02.1964;     28,61
15.02.1964;     28,53
01.03.1964;     28,48
15.03.1964;     28,46
01.04.1964;     28,78
15.04.1964;     28,60
01.05.1964;     28,56
15.05.1964;     28,60
01.06.1964;     28,44
15.06.1964;     28,41
01.07.1964;     28,31
15.07.1964;     28,21
01.08.1964;     28,13
15.08.1964;     28,47
01.09.1964;     28,29
15.09.1964;     28,28
01.10.1964;     28,27
15.10.1964;     28,31
01.11.1964;     28,29
15.11.1964;     28,28
01.12.1964;     28,34
15.12.1964;     28,39
01.01.1965;     28,45
15.01.1965;     28,50
01.02.1965;     28,58
15.02.1965;     28,63
01.03.1965;     28,52
15.03.1965;     28,57
01.04.1965;     28,63
15.04.1965;     28,70
01.05.1965;     28,89
15.05.1965;     28,85
01.06.1965;     28,71
15.06.1965;     28,57
01.07.1965;     28,51
15.07.1965;     28,66
01.08.1965;     28,75
15.08.1965;     28,64
01.09.1965;     28,51
15.09.1965;     28,55
01.10.1965;     28,56
15.10.1965;     28,48
01.11.1965;     28,47
15.11.1965;     28,45
01.12.1965;     28,80
15.12.1965;     28,76
01.01.1966;     28,93
15.01.1966;     28,78
01.02.1966;     28,85
15.02.1966;     28,93
01.03.1966;     29,09
15.03.1966;     29,00
01.04.1966;     28,96
15.04.1966;     29,04
01.05.1966;     28,82
15.05.1966;     28,78
01.06.1966;     28,70
15.06.1966;     28,65
01.07.1966;     28,80
15.07.1966;     28,64
01.08.1966;     28,57
15.08.1966;     28,48
01.09.1966;     28,64
15.09.1966;     28,55
01.10.1966;     28,50
15.10.1966;     28,52
01.11.1966;     28,63
15.11.1966;     28,57
01.12.1966;     28,74
15.12.1966;     28,82
01.01.1967;     28,91
15.01.1967;     28,90
01.02.1967;     28,98
15.02.1967;     28,84
01.03.1967;     29,06
15.03.1967;     28,91
01.04.1967;     28,92
15.04.1967;     28,85
01.05.1967;     28,76
15.05.1967;     28,63
01.06.1967;     28,77
15.06.1967;     28,72
01.07.1967;     28,63
15.07.1967;     28,61
01.08.1967;     28,46
15.08.1967;     28,44
01.09.1967;     28,40
15.09.1967;     28,48
01.10.1967;     28,51
15.10.1967;     28,51
01.11.1967;     28,52
15.11.1967;     28,57
01.12.1967;     28,67
15.12.1967;     28,68
01.01.1968;     28,83
15.01.1968;     28,85
01.02.1968;     28,87
15.02.1968;     28,80
01.03.1968;     28,76
15.03.1968;     28,82
01.04.1968;     28,72
15.04.1968;     28,67
01.05.1968;     28,60
15.05.1968;     28,73
01.06.1968;     28,68
15.06.1968;     28,57
01.07.1968;     28,56
15.07.1968;     28,44
01.08.1968;     28,37
15.08.1968;     28,31
01.09.1968;     28,30
15.09.1968;     28,53
01.10.1968;     28,59
15.10.1968;     28,65
01.11.1968;     28,61
15.11.1968;     28,80
01.12.1968;     28,83
15.12.1968;     28,67
01.01.1969;     28,82
15.01.1969;     28,92
01.02.1969;     29,01
15.02.1969;     29,02
01.03.1969;     29,01
15.03.1969;     29,01
01.04.1969;     29,01
15.04.1969;     28,96
01.05.1969;     28,93
15.05.1969;     28,80
01.06.1969;     28,79
15.06.1969;     28,66
01.07.1969;     28,69
15.07.1969;     28,60
01.08.1969;     28,47
15.08.1969;     28,39
01.09.1969;     28,79
15.09.1969;     28,51
01.10.1969;     28,44
15.10.1969;     28,44
01.11.1969;     28,54
15.11.1969;     28,64
01.12.1969;     28,68
15.12.1969;     28,54
01.01.1970;     28,50
15.01.1970;     28,56
01.02.1970;     28,65
15.02.1970;     28,75
01.03.1970;     28,75
15.03.1970;     28,73
01.04.1970;     28,99
15.04.1970;     29,14
01.05.1970;     29,11
15.05.1970;     29,01
01.06.1970;     29,00
15.06.1970;     28,70
01.07.1970;     28,78
15.07.1970;     28,64
01.08.1970;     28,65
15.08.1970;     28,52
01.09.1970;     28,48
15.09.1970;     28,58
01.10.1970;     28,55
15.10.1970;     28,50
01.11.1975;     28,24
15.11.1975;     28,24
01.12.1975;     28,32
15.12.1975;     28,29
01.01.1976;     28,35
15.01.1976;     28,62
01.02.1976;     28,66
15.02.1976;     28,64
01.03.1976;     28,64
15.03.1976;     28,57
01.04.1976;     28,55
15.04.1976;     28,48
01.05.1976;     28,43
15.05.1976;     28,37
01.06.1976;     28,38
15.06.1976;     28,34
01.07.1976;     28,15
15.07.1976;     28,06
01.08.1976;     28,04
15.08.1976;     28,01
01.09.1976;     27,97
15.09.1976;     27,98
01.10.1976;     28,24
15.10.1976;     28,20
01.11.1976;     28,25
15.11.1976;     28,26
01.12.1976;     28,28
15.12.1976;     28,33
01.01.1977;     28,23
15.01.1977;     28,20
01.02.1977;     28,47
15.02.1977;     28,48
01.03.1977;     28,45
15.03.1977;     28,56
01.04.1977;     28,56
15.04.1977;     28,60
01.05.1977;     28,63
15.05.1977;     28,54
01.06.1977;     28,49
15.06.1977;     28,46
01.07.1977;     28,30
15.07.1977;     28,28
01.08.1977;     28,28
15.08.1977;     28,62
01.09.1977;     28,48
15.09.1977;     28,59
01.10.1977;     28,47
15.10.1977;     28,52
01.11.1977;     28,47
15.11.1977;     28,54
01.12.1977;     28,58
15.12.1977;     28,62
01.01.1978;     28,71
15.01.1978;     28,66
01.02.1978;     28,64
15.02.1978;     28,56
01.03.1978;     28,63
15.03.1978;     28,63
01.04.1978;     28,68
15.04.1978;     28,63
01.05.1978;     28,55
15.05.1978;     28,53
01.06.1978;     28,42
15.06.1978;     28,45
01.07.1978;     28,36
15.07.1978;     28,42
01.08.1978;     28,30
15.08.1978;     28,44
01.09.1978;     28,39
15.09.1978;     28,62
01.10.1978;     28,67
15.10.1978;     28,57
01.11.1978;     28,54
15.11.1978;     28,50
01.12.1978;     28,45
15.12.1978;     28,66
01.01.1979;     28,66
15.01.1979;     28,64
01.02.1979;     28,82
15.02.1979;     29,01
01.03.1979;     29,01
15.03.1979;     28,98
01.04.1979;     29,02
15.04.1979;     29,11
01.05.1979;     28,93
15.05.1979;     28,83
01.06.1979;     28,68
15.06.1979;     28,93
01.07.1979;     28,68
15.07.1979;     28,80
01.08.1979;     28,61
15.08.1979;     28,54
01.09.1979;     28,46
15.09.1979;     28,41
01.10.1979;     28,36
15.10.1979;     28,33
01.11.1979;     28,30
15.11.1979;     28,26
01.12.1979;     28,24
15.12.1979;     28,58
01.01.1980;     28,64
15.01.1980;     28,72
01.02.1980;     28,75
15.02.1980;     28,84
01.03.1980;     28,72
15.03.1980;     28,71
01.04.1980;     28,71
15.04.1980;     28,72
01.05.1980;     28,75
15.05.1980;     28,67
01.06.1980;     28,51
15.06.1980;     28,45
01.07.1980;     28,54
15.07.1980;     28,60
01.08.1980;     28,49
15.08.1980;     28,47
01.09.1980;     28,52
15.09.1980;     28,49
01.10.1980;     28,44
15.10.1980;     28,45
01.11.1980;     28,53
15.11.1980;     28,60
01.12.1980;     28,62
15.12.1980;     28,74
01.01.1981;     28,79
15.01.1981;     28,82
01.02.1981;     28,82
15.02.1981;     28,84
01.03.1981;     28,80
15.03.1981;     29,08
01.04.1981;     29,11
15.04.1981;     28,92
01.05.1981;     28,87
15.05.1981;     28,81
01.06.1981;     28,72
15.06.1981;     28,70
01.07.1981;     28,73
15.07.1981;     28,59
01.08.1981;     28,76
15.08.1981;     28,77
01.09.1981;     28,73
15.09.1981;     28,75
01.10.1981;     28,77
15.10.1981;     28,72
01.11.1981;     28,77
15.11.1981;     28,88
01.12.1981;     28,93
15.12.1981;     28,96
01.01.1982;     29,02
15.01.1982;     28,80
