Messstelle 3241 9879, Grundwasserstand in m über NHN92
 
01.11.1975;     28,10
15.11.1975;     28,08
01.12.1975;     28,05
15.12.1975;     28,03
01.01.1976;     27,99
15.01.1976;     28,14
01.02.1976;     28,37
15.02.1976;     28,41
01.03.1976;     28,42
15.03.1976;     28,42
01.04.1976;     28,41
15.04.1976;     28,42
01.05.1976;     28,39
15.05.1976;     28,36
01.06.1976;     28,30
15.06.1976;     28,24
01.07.1976;     28,20
15.07.1976;     28,08
01.08.1976;     28,07
15.08.1976;     28,07
01.09.1976;     28,05
15.09.1976;     28,04
01.10.1976;     28,04
15.10.1976;     28,04
01.11.1976;     28,02
15.11.1976;     28,00
01.12.1976;     28,01
15.12.1976;     27,99
01.01.1977;     27,97
15.01.1977;     27,97
01.02.1977;     27,99
15.02.1977;     28,06
01.03.1977;     28,16
15.03.1977;     28,26
01.04.1977;     28,31
15.04.1977;     28,35
01.05.1977;     28,37
15.05.1977;     28,42
01.06.1977;     28,40
15.06.1977;     28,35
01.07.1977;     28,26
15.07.1977;     28,22
01.08.1977;     28,22
15.08.1977;     28,21
01.09.1977;     28,22
15.09.1977;     28,30
01.10.1977;     28,29
15.10.1977;     28,25
01.11.1977;     28,23
15.11.1977;     28,21
01.12.1977;     28,25
15.12.1977;     28,26
01.01.1978;     28,29
15.01.1978;     28,34
01.02.1978;     28,38
15.02.1978;     28,39
01.03.1978;     28,40
15.03.1978;     28,41
01.04.1978;     28,43
15.04.1978;     28,44
01.05.1978;     28,45
15.05.1978;     28,37
01.06.1978;     28,29
15.06.1978;     28,27
01.07.1978;     28,24
15.07.1978;     28,23
01.08.1978;     28,19
15.08.1978;     28,24
01.09.1978;     28,22
15.09.1978;     28,23
01.10.1978;     28,29
15.10.1978;     28,33
01.11.1978;     28,31
15.11.1978;     28,30
01.12.1978;     28,34
15.12.1978;     28,24
01.01.1979;     28,24
15.01.1979;     28,39
01.02.1979;     28,46
15.02.1979;     28,67
01.03.1979;     28,90
15.03.1979;     28,46
01.04.1979;     28,46
15.04.1979;     28,97
01.05.1979;     28,92
15.05.1979;     28,89
01.06.1979;     28,78
15.06.1979;     28,71
01.07.1979;     28,65
15.07.1979;     28,59
01.08.1979;     28,54
15.08.1979;     28,49
01.09.1979;     28,45
15.09.1979;     28,39
01.10.1979;     28,34
15.10.1979;     28,29
01.11.1979;     28,25
15.11.1979;     28,23
01.12.1979;     28,23
15.12.1979;     28,26
01.01.1980;     28,29
15.01.1980;     28,35
01.02.1980;     28,39
15.02.1980;     28,46
01.03.1980;     28,54
15.03.1980;     28,56
01.04.1980;     28,57
15.04.1980;     28,58
01.05.1980;     28,61
15.05.1980;     28,59
01.06.1980;     28,54
15.06.1980;     28,49
01.07.1980;     28,47
15.07.1980;     28,49
01.08.1980;     28,45
15.08.1980;     28,43
01.09.1980;     28,39
15.09.1980;     28,33
01.10.1980;     28,31
15.10.1980;     28,28
01.11.1980;     28,27
15.11.1980;     28,26
01.12.1980;     28,27
15.12.1980;     28,30
01.01.1981;     28,36
15.01.1981;     28,45
01.02.1981;     28,52
15.02.1981;     28,50
01.03.1981;     28,46
15.03.1981;     28,81
01.04.1981;     29,05
15.04.1981;     29,01
01.05.1981;     28,92
15.05.1981;     28,88
01.06.1981;     28,81
15.06.1981;     28,74
01.07.1981;     28,75
15.07.1981;     28,69
01.08.1981;     28,62
15.08.1981;     28,59
