Messstelle 3139 1801, Grundwasserstand in m über NHN16
 
01.11.1975;     24,94
08.11.1975;     24,92
15.11.1975;     24,90
22.11.1975;     24,91
01.12.1975;     24,93
08.12.1975;     25,07
15.12.1975;     25,06
22.12.1975;     25,14
01.01.1976;     25,14
08.01.1976;     25,25
15.01.1976;     25,38
22.01.1976;     25,59
01.02.1976;     25,89
08.02.1976;     25,75
15.02.1976;     25,71
22.02.1976;     25,68
01.03.1976;     25,70
08.03.1976;     25,75
15.03.1976;     25,66
22.03.1976;     25,62
01.04.1976;     25,59
08.04.1976;     25,56
15.04.1976;     25,50
22.04.1976;     25,50
01.05.1976;     25,39
08.05.1976;     25,36
15.05.1976;     25,31
22.05.1976;     25,26
01.06.1976;     25,29
08.06.1976;     25,23
15.06.1976;     25,20
22.06.1976;     25,20
01.07.1976;     25,15
08.07.1976;     25,12
15.07.1976;     25,10
22.07.1976;     25,07
01.08.1976;     25,05
08.08.1976;     25,03
15.08.1976;     25,01
22.08.1976;     24,98
01.09.1976;     24,97
08.09.1976;     24,95
15.09.1976;     24,94
22.09.1976;     24,99
01.10.1976;     25,05
08.10.1976;     25,13
15.10.1976;     25,12
22.10.1976;     25,11
01.11.1976;     25,10
08.11.1976;     25,09
15.11.1976;     25,07
22.11.1976;     25,10
01.12.1976;     25,14
08.12.1976;     25,16
15.12.1976;     25,18
22.12.1976;     25,20
01.01.1977;     25,19
08.01.1977;     25,21
15.01.1977;     25,22
22.01.1977;     25,26
01.02.1977;     25,43
08.02.1977;     25,44
15.02.1977;     25,49
22.02.1977;     25,54
01.03.1977;     25,58
08.03.1977;     25,59
15.03.1977;     25,74
22.03.1977;     25,78
01.04.1977;     25,78
08.04.1977;     25,77
15.04.1977;     25,75
22.04.1977;     25,72
01.05.1977;     25,79
08.05.1977;     25,76
15.05.1977;     25,69
22.05.1977;     25,62
01.06.1977;     25,61
08.06.1977;     25,52
15.06.1977;     25,50
22.06.1977;     25,47
01.07.1977;     25,45
08.07.1977;     25,44
15.07.1977;     25,41
22.07.1977;     25,37
01.08.1977;     25,60
08.08.1977;     25,65
15.08.1977;     25,72
22.08.1977;     25,65
01.09.1977;     25,50
08.09.1977;     25,49
15.09.1977;     25,48
22.09.1977;     25,40
01.10.1977;     25,37
08.10.1977;     25,34
15.10.1977;     25,31
22.10.1977;     25,30
01.11.1977;     25,27
08.11.1977;     25,25
15.11.1977;     25,29
22.11.1977;     25,36
01.12.1977;     25,47
08.12.1977;     25,33
15.12.1977;     25,42
22.12.1977;     25,41
01.01.1978;     25,46
08.01.1978;     25,52
15.01.1978;     25,51
22.01.1978;     25,49
01.02.1978;     25,44
08.02.1978;     25,39
15.02.1978;     25,34
22.02.1978;     25,31
01.03.1978;     25,39
08.03.1978;     25,41
15.03.1978;     25,44
22.03.1978;     25,42
01.04.1978;     25,55
08.04.1978;     25,49
15.04.1978;     25,44
22.04.1978;     25,38
01.05.1978;     25,40
08.05.1978;     25,42
15.05.1978;     25,42
22.05.1978;     25,42
01.06.1978;     25,37
08.06.1978;     25,33
15.06.1978;     25,29
22.06.1978;     25,25
01.07.1978;     25,24
08.07.1978;     25,25
15.07.1978;     25,27
22.07.1978;     25,28
01.08.1978;     25,24
08.08.1978;     25,57
15.08.1978;     25,54
22.08.1978;     25,52
01.09.1978;     25,39
08.09.1978;     25,49
15.09.1978;     25,56
22.09.1978;     25,60
01.10.1978;     25,68
08.10.1978;     25,63
15.10.1978;     25,58
22.10.1978;     25,54
01.11.1978;     25,47
08.11.1978;     25,43
15.11.1978;     25,39
22.11.1978;     25,34
01.12.1978;     25,30
08.12.1978;     25,32
