Messstelle 3241 9819, Grundwasserstand in m über NHN92
 
01.01.2011;     28,32
08.01.2011;     28,62
15.01.2011;     28,71
22.01.2011;     28,62
01.02.2011;     28,61
08.02.2011;     28,55
15.02.2011;     28,65
22.02.2011;     28,54
01.03.2011;     28,45
08.03.2011;     28,38
15.03.2011;     28,36
22.03.2011;     28,34
01.04.2011;     28,32
08.04.2011;     28,34
15.04.2011;     28,29
22.04.2011;     28,25
01.05.2011;     28,21
08.05.2011;     28,16
15.05.2011;     28,12
22.05.2011;     28,06
01.06.2011;     27,97
08.06.2011;     27,97
15.06.2011;     27,92
22.06.2011;     27,94
01.07.2011;     27,95
08.07.2011;     28,36
15.07.2011;     28,48
22.07.2011;     28,35
01.08.2011;     28,72
08.08.2011;     28,54
15.08.2011;     28,76
22.08.2011;     28,46
01.09.2011;     28,35
08.09.2011;     28,31
15.09.2011;     28,32
22.09.2011;     28,26
01.10.2011;     28,18
08.10.2011;     28,11
15.10.2011;     28,21
22.10.2011;     28,16
01.11.2011;     28,10
08.11.2011;     28,05
15.11.2011;     28,06
22.11.2011;     28,04
01.12.2011;     28,03
08.12.2011;     27,96
15.12.2011;     28,05
22.12.2011;     28,25
01.01.2012;     28,27
08.01.2012;     28,39
15.01.2012;     28,40
22.01.2012;     28,48
01.02.2012;     28,37
08.02.2012;     28,37
15.02.2012;     28,29
22.02.2012;     28,32
01.03.2012;     28,48
08.03.2012;     28,46
15.03.2012;     28,39
22.03.2012;     28,31
01.04.2012;     28,28
08.04.2012;     28,22
15.04.2012;     28,24
22.04.2012;     28,22
01.05.2012;     28,17
08.05.2012;     28,13
15.05.2012;     28,10
22.05.2012;     28,01
01.06.2012;     27,94
08.06.2012;     27,96
15.06.2012;     27,91
22.06.2012;     27,94
01.07.2012;     27,90
08.07.2012;     27,90
15.07.2012;     27,86
22.07.2012;     27,94
01.08.2012;     28,04
08.08.2012;     27,93
15.08.2012;     27,89
22.08.2012;     27,79
01.09.2012;     27,82
08.09.2012;     27,77
15.09.2012;     27,73
22.09.2012;     27,68
01.10.2012;     27,68
08.10.2012;     27,76
15.10.2012;     27,80
22.10.2012;     27,76
01.11.2012;     27,80
08.11.2012;     27,75
15.11.2012;     27,80
22.11.2012;     27,78
01.12.2012;     27,78
08.12.2012;     27,81
15.12.2012;     27,99
22.12.2012;     27,95
01.01.2013;     28,03
08.01.2013;     28,13
15.01.2013;     28,19
22.01.2013;     28,21
01.02.2013;     28,38
08.02.2013;     28,39
15.02.2013;     28,40
22.02.2013;     28,36
01.03.2013;     28,36
08.03.2013;     28,36
15.03.2013;     28,33
22.03.2013;     28,28
01.04.2013;     28,30
08.04.2013;     28,39
15.04.2013;     28,33
22.04.2013;     28,30
01.05.2013;     28,25
08.05.2013;     28,29
15.05.2013;     28,23
22.05.2013;     28,15
01.06.2013;     28,28
08.06.2013;     28,18
15.06.2013;     28,09
22.06.2013;     28,11
01.07.2013;     28,13
08.07.2013;     28,09
15.07.2013;     28,04
22.07.2013;     27,96
01.08.2013;     27,83
08.08.2013;     27,78
15.08.2013;     27,75
22.08.2013;     27,75
01.09.2013;     27,68
08.09.2013;     27,69
15.09.2013;     27,77
22.09.2013;     27,83
01.10.2013;     27,80
08.10.2013;     27,79
15.10.2013;     28,00
22.10.2013;     28,04
01.11.2013;     28,05
08.11.2013;     28,10
15.11.2013;     28,10
22.11.2013;     28,13
01.12.2013;     28,15
08.12.2013;     28,24
15.12.2013;     28,32
22.12.2013;     28,32
01.01.2014;     28,31
08.01.2014;     28,37
15.01.2014;     28,33
22.01.2014;     28,35
01.02.2014;     28,29
08.02.2014;     28,25
15.02.2014;     28,25
22.02.2014;     28,25
01.03.2014;     28,23
08.03.2014;     28,18
15.03.2014;     28,17
22.03.2014;     28,21
01.04.2014;     28,12
08.04.2014;     28,12
15.04.2014;     28,11
22.04.2014;     28,05
01.05.2014;     27,99
08.05.2014;     28,03
15.05.2014;     27,99
22.05.2014;     28,02
01.06.2014;     27,98
08.06.2014;     27,93
15.06.2014;     27,97
22.06.2014;     27,90
01.07.2014;     27,92
08.07.2014;     27,92
15.07.2014;     27,90
22.07.2014;     27,87
01.08.2014;     27,83
08.08.2014;     27,82
15.08.2014;     27,87
22.08.2014;     27,88
01.09.2014;     27,83
08.09.2014;     27,77
15.09.2014;     27,80
22.09.2014;     27,77
01.10.2014;     27,79
08.10.2014;     27,78
15.10.2014;     27,75
22.10.2014;     27,79
01.11.2014;     27,76
08.11.2014;     27,76
15.11.2014;     27,76
22.11.2014;     27,75
01.12.2014;     27,74
08.12.2014;     27,82
15.12.2014;     27,89
22.12.2014;     27,95
01.01.2015;     28,06
08.01.2015;     28,20
15.01.2015;     28,25
22.01.2015;     28,29
01.02.2015;     28,23
08.02.2015;     28,29
15.02.2015;     28,26
22.02.2015;     28,24
01.03.2015;     28,21
08.03.2015;     28,20
15.03.2015;     28,15
22.03.2015;     28,15
01.04.2015;     28,15
08.04.2015;     28,14
15.04.2015;     28,10
22.04.2015;     28,10
01.05.2015;     28,07
08.05.2015;     28,05
15.05.2015;     28,01
22.05.2015;     27,95
01.06.2015;     27,90
08.06.2015;     27,81
15.06.2015;     27,78
22.06.2015;     27,72
01.07.2015;     27,69
08.07.2015;     27,62
15.07.2015;     27,64
22.07.2015;     27,64
01.08.2015;     27,62
08.08.2015;     27,60
15.08.2015;     27,57
22.08.2015;     27,68
01.09.2015;     27,64
08.09.2015;     27,62
15.09.2015;     27,67
22.09.2015;     27,68
01.10.2015;     27,60
08.10.2015;     27,61
15.10.2015;     27,65
22.10.2015;     27,65
01.11.2015;     27,76
08.11.2015;     27,78
15.11.2015;     27,80
22.11.2015;     27,91
01.12.2015;     27,93
08.12.2015;     28,10
15.12.2015;     28,10
22.12.2015;     28,15
01.01.2016;     28,18
08.01.2016;     28,13
15.01.2016;     28,17
22.01.2016;     28,17
01.02.2016;     28,21
08.02.2016;     28,24
15.02.2016;     28,24
22.02.2016;     28,25
01.03.2016;     28,33
08.03.2016;     28,31
15.03.2016;     28,27
22.03.2016;     28,25
01.04.2016;     28,16
08.04.2016;     28,15
15.04.2016;     28,12
22.04.2016;     28,08
01.05.2016;     28,03
08.05.2016;     28,00
15.05.2016;     27,95
22.05.2016;     27,90
01.06.2016;     27,86
08.06.2016;     27,78
15.06.2016;     27,75
22.06.2016;     27,73
01.07.2016;     27,72
08.07.2016;     27,63
15.07.2016;     27,64
22.07.2016;     27,58
01.08.2016;     27,62
08.08.2016;     27,60
15.08.2016;     27,55
22.08.2016;     27,51
01.09.2016;     27,45
08.09.2016;     27,45
15.09.2016;     27,45
22.09.2016;     27,49
01.10.2016;     27,44
08.10.2016;     27,45
15.10.2016;     27,47
22.10.2016;     27,49
01.11.2016;     27,48
08.11.2016;     27,50
15.11.2016;     27,53
22.11.2016;     27,55
01.12.2016;     27,58
08.12.2016;     27,58
15.12.2016;     27,60
22.12.2016;     27,65
01.01.2017;     27,71
08.01.2017;     27,75
15.01.2017;     27,79
22.01.2017;     27,79
01.02.2017;     27,79
08.02.2017;     27,79
15.02.2017;     27,79
22.02.2017;     27,79
01.03.2017;     27,83
08.03.2017;     27,85
15.03.2017;     27,88
22.03.2017;     27,90
01.04.2017;     27,95
08.04.2017;     27,94
15.04.2017;     27,93
22.04.2017;     27,93
01.05.2017;     27,87
08.05.2017;     27,86
15.05.2017;     27,87
22.05.2017;     27,84
01.06.2017;     27,70
08.06.2017;     27,65
15.06.2017;     27,63
22.06.2017;     27,64
01.07.2017;     28,40
08.07.2017;     28,22
15.07.2017;     28,21
22.07.2017;     28,18
01.08.2017;     28,57
08.08.2017;     28,45
15.08.2017;     28,59
22.08.2017;     28,55
01.09.2017;     28,39
08.09.2017;     28,30
15.09.2017;     28,22
22.09.2017;     28,16
01.10.2017;     28,12
08.10.2017;     28,15
15.10.2017;     28,18
22.10.2017;     28,15
01.11.2017;     28,14
08.11.2017;     28,25
15.11.2017;     28,34
22.11.2017;     28,31
01.12.2017;     28,42
08.12.2017;     28,41
