Messstelle 3140 0830, Grundwasserstand in m über NHN92
 
01.02.2005;     30,69
08.02.2005;     30,61
15.02.2005;     30,68
22.02.2005;     30,65
01.03.2005;     30,63
08.03.2005;     30,58
15.03.2005;     30,68
22.03.2005;     30,63
01.04.2005;     30,59
08.04.2005;     30,65
15.04.2005;     30,70
22.04.2005;     30,65
01.05.2005;     30,66
08.05.2005;     30,70
15.05.2005;     30,79
22.05.2005;     30,78
01.06.2005;     30,78
08.06.2005;     30,77
15.06.2005;     30,78
22.06.2005;     30,76
01.07.2005;     30,74
08.07.2005;     30,77
15.07.2005;     30,72
22.07.2005;     30,78
01.08.2005;     30,69
08.08.2005;     30,74
15.08.2005;     30,71
22.08.2005;     30,58
01.09.2005;     30,58
08.09.2005;     30,60
15.09.2005;     30,60
22.09.2005;     30,65
01.10.2005;     30,59
08.10.2005;     30,61
15.10.2005;     30,60
22.10.2005;     30,68
01.11.2005;     30,61
08.11.2005;     30,58
15.11.2005;     30,63
22.11.2005;     30,60
01.12.2005;     30,59
08.12.2005;     30,61
15.12.2005;     30,66
22.12.2005;     30,68
01.01.2006;     30,64
08.01.2006;     30,62
15.01.2006;     30,64
22.01.2006;     30,65
01.02.2006;     30,69
08.02.2006;     30,68
15.02.2006;     30,70
22.02.2006;     30,73
01.03.2006;     30,69
08.03.2006;     30,65
15.03.2006;     30,62
22.03.2006;     30,58
01.04.2006;     30,70
08.04.2006;     30,81
15.04.2006;     30,87
22.04.2006;     30,79
01.05.2006;     30,88
08.05.2006;     30,98
15.05.2006;     30,91
22.05.2006;     30,86
01.06.2006;     30,83
08.06.2006;     30,81
15.06.2006;     30,79
22.06.2006;     30,77
01.07.2006;     30,79
08.07.2006;     30,83
15.07.2006;     30,78
22.07.2006;     30,73
01.08.2006;     30,69
08.08.2006;     30,66
15.08.2006;     30,62
22.08.2006;     30,60
01.09.2006;     30,62
08.09.2006;     30,63
15.09.2006;     30,64
22.09.2006;     30,61
01.10.2006;     30,59
08.10.2006;     30,61
15.10.2006;     30,64
22.10.2006;     30,61
01.11.2006;     30,58
08.11.2006;     30,61
15.11.2006;     30,64
22.11.2006;     30,66
01.12.2006;     30,65
08.12.2006;     30,63
15.12.2006;     30,62
22.12.2006;     30,62
01.01.2007;     30,63
08.01.2007;     30,62
15.01.2007;     30,62
22.01.2007;     30,60
01.02.2007;     30,71
08.02.2007;     30,75
15.02.2007;     30,78
22.02.2007;     30,80
01.03.2007;     30,79
08.03.2007;     30,81
15.03.2007;     30,80
22.03.2007;     30,78
01.04.2007;     30,80
08.04.2007;     30,82
15.04.2007;     30,81
22.04.2007;     30,83
01.05.2007;     30,84
08.05.2007;     30,83
15.05.2007;     30,86
22.05.2007;     30,87
01.06.2007;     30,93
08.06.2007;     30,96
15.06.2007;     30,99
22.06.2007;     31,05
01.07.2007;     31,05
08.07.2007;     31,07
15.07.2007;     31,09
22.07.2007;     31,10
01.08.2007;     31,03
08.08.2007;     31,01
15.08.2007;     30,92
22.08.2007;     30,85
01.09.2007;     30,80
08.09.2007;     30,78
15.09.2007;     30,79
22.09.2007;     30,81
01.10.2007;     30,74
08.10.2007;     30,75
15.10.2007;     30,70
22.10.2007;     30,66
01.11.2007;     30,72
08.11.2007;     30,74
15.11.2007;     30,77
22.11.2007;     30,75
01.12.2007;     30,74
08.12.2007;     30,76
15.12.2007;     30,75
22.12.2007;     30,73
01.01.2008;     30,83
08.01.2008;     30,92
15.01.2008;     30,99
22.01.2008;     31,04
01.02.2008;     30,91
08.02.2008;     30,86
15.02.2008;     30,87
22.02.2008;     30,84
01.03.2008;     30,81
08.03.2008;     30,79
15.03.2008;     30,78
22.03.2008;     30,75
01.04.2008;     30,75
08.04.2008;     30,72
15.04.2008;     30,71
22.04.2008;     30,73
01.05.2008;     30,79
08.05.2008;     30,81
15.05.2008;     30,84
22.05.2008;     30,84
01.06.2008;     30,87
08.06.2008;     30,83
15.06.2008;     30,84
22.06.2008;     30,81
01.07.2008;     30,77
08.07.2008;     30,76
15.07.2008;     30,74
22.07.2008;     30,76
01.08.2008;     30,79
08.08.2008;     30,78
15.08.2008;     30,80
22.08.2008;     30,81
01.09.2008;     30,74
08.09.2008;     30,73
15.09.2008;     30,71
22.09.2008;     30,69
01.10.2008;     30,70
08.10.2008;     30,69
15.10.2008;     30,66
22.10.2008;     30,68
01.11.2008;     30,69
08.11.2008;     30,67
15.11.2008;     30,68
22.11.2008;     30,65
01.12.2008;     30,67
08.12.2008;     30,68
15.12.2008;     30,67
22.12.2008;     30,69
01.01.2009;     30,67
08.01.2009;     30,70
15.01.2009;     30,69
22.01.2009;     30,68
01.02.2009;     30,66
08.02.2009;     30,67
15.02.2009;     30,65
22.02.2009;     30,66
01.03.2009;     30,67
08.03.2009;     30,65
15.03.2009;     30,66
22.03.2009;     30,65
01.04.2009;     30,67
08.04.2009;     30,69
15.04.2009;     30,66
22.04.2009;     30,67
01.05.2009;     30,69
08.05.2009;     30,68
15.05.2009;     30,66
22.05.2009;     30,66
01.06.2009;     30,79
08.06.2009;     30,75
15.06.2009;     30,76
22.06.2009;     30,78
01.07.2009;     30,81
08.07.2009;     30,80
15.07.2009;     30,83
22.07.2009;     30,89
01.08.2009;     30,83
08.08.2009;     30,78
15.08.2009;     30,79
22.08.2009;     30,81
01.09.2009;     30,76
08.09.2009;     30,77
15.09.2009;     30,76
22.09.2009;     30,76
01.10.2009;     30,73
08.10.2009;     30,75
15.10.2009;     30,75
22.10.2009;     30,72
01.11.2009;     30,75
08.11.2009;     30,76
15.11.2009;     30,78
22.11.2009;     30,76
01.12.2009;     30,77
08.12.2009;     30,78
15.12.2009;     30,76
22.12.2009;     30,77
