Messstelle 3241 9870, Grundwasserstand in m über NHN92
 
01.04.1954;     27,69
15.04.1954;     27,76
01.05.1954;     27,80
15.05.1954;     27,78
01.06.1954;     27,72
15.06.1954;     27,71
01.07.1954;     27,67
15.07.1954;     27,72
01.08.1954;     27,80
15.08.1954;     27,83
01.09.1954;     27,85
15.09.1954;     27,88
01.10.1954;     27,81
15.10.1954;     27,83
01.11.1954;     27,84
15.11.1954;     27,84
01.12.1954;     27,86
15.12.1954;     27,85
01.01.1955;     28,03
15.01.1955;     28,02
01.02.1955;     28,08
15.02.1955;     28,03
01.03.1955;     28,07
15.03.1955;     28,14
01.04.1955;     28,20
15.04.1955;     28,28
01.05.1955;     28,23
15.05.1955;     28,28
01.06.1955;     28,04
15.06.1955;     28,20
01.07.1955;     28,11
15.07.1955;     28,10
01.08.1955;     28,08
15.08.1955;     27,98
01.09.1955;     27,95
15.09.1955;     27,87
01.10.1955;     27,84
15.10.1955;     27,81
01.11.1955;     27,90
15.11.1955;     27,82
01.12.1955;     27,80
15.12.1955;     27,98
01.01.1956;     28,13
15.01.1956;     28,14
01.02.1956;     28,16
15.02.1956;     28,10
01.03.1956;     28,05
15.03.1956;     28,09
01.07.1956;     28,46
01.10.1956;     28,05
15.10.1956;     28,08
01.11.1956;     28,11
15.11.1956;     28,16
01.12.1956;     28,30
01.01.1957;     28,21
15.01.1957;     28,32
01.02.1957;     28,33
15.02.1957;     28,42
01.03.1957;     28,33
15.03.1957;     28,29
01.04.1957;     28,36
15.04.1957;     28,26
01.05.1957;     28,23
15.05.1957;     28,14
01.06.1957;     28,09
15.06.1957;     27,98
01.07.1957;     27,95
15.07.1957;     27,95
01.08.1957;     27,96
15.08.1957;     27,89
01.09.1957;     27,87
15.09.1957;     27,84
01.10.1957;     27,86
15.10.1957;     27,85
01.11.1957;     27,84
15.11.1957;     27,86
01.12.1957;     27,88
15.12.1957;     27,91
01.01.1958;     27,95
15.01.1958;     28,12
01.02.1958;     28,07
15.02.1958;     28,17
01.03.1958;     28,24
15.03.1958;     28,27
01.04.1958;     28,21
15.04.1958;     28,15
01.05.1958;     28,08
15.05.1958;     28,06
01.06.1958;     28,04
15.06.1958;     27,95
01.07.1958;     27,98
15.07.1958;     27,97
01.08.1958;     27,92
15.08.1958;     27,87
01.09.1958;     27,88
15.09.1958;     27,90
01.10.1958;     27,87
15.10.1958;     27,77
01.11.1958;     27,74
15.11.1958;     27,69
01.12.1958;     27,67
15.12.1958;     27,72
01.01.1959;     27,75
15.01.1959;     27,79
01.02.1959;     27,86
15.02.1959;     27,80
01.03.1959;     27,80
15.03.1959;     27,76
01.04.1959;     27,70
15.04.1959;     27,67
01.05.1959;     27,68
15.05.1959;     27,65
01.06.1959;     27,62
15.06.1959;     27,58
01.07.1959;     27,55
15.07.1959;     27,52
01.08.1959;     27,52
15.08.1959;     27,59
01.09.1959;     27,61
15.09.1959;     27,56
01.10.1959;     27,48
15.10.1959;     27,45
01.11.1959;     27,49
15.11.1959;     27,48
01.12.1959;     27,59
15.12.1959;     27,56
01.01.1960;     27,62
15.01.1960;     27,69
01.02.1960;     27,76
15.02.1960;     27,77
01.03.1960;     27,74
15.03.1960;     27,79
01.04.1960;     27,74
15.04.1960;     27,72
01.05.1960;     27,68
15.05.1960;     27,61
01.06.1960;     27,57
15.06.1960;     27,59
01.07.1960;     27,59
15.07.1960;     27,63
01.08.1960;     27,61
15.08.1960;     27,57
01.09.1960;     27,56
15.09.1960;     27,51
01.10.1960;     27,52
15.10.1960;     27,54
01.11.1960;     27,66
15.11.1960;     27,73
01.12.1960;     27,82
15.12.1960;     27,97
01.01.1961;     28,08
15.01.1961;     28,15
01.02.1961;     28,09
15.02.1961;     28,27
01.03.1961;     28,25
15.03.1961;     28,23
01.04.1961;     28,23
15.04.1961;     28,23
01.05.1961;     28,11
15.05.1961;     28,19
01.06.1961;     28,12
15.06.1961;     28,51
01.07.1961;     28,30
15.07.1961;     28,21
01.08.1961;     28,13
15.08.1961;     28,07
01.09.1961;     28,01
