Messstelle 3141 9861, Grundwasserstand in m über NHN92
 
01.04.1954;     29,34
15.04.1954;     29,30
01.05.1954;     29,45
15.05.1954;     29,39
01.06.1954;     29,36
15.06.1954;     29,47
01.07.1954;     29,43
15.07.1954;     29,44
01.08.1954;     29,45
15.08.1954;     29,47
01.09.1954;     29,68
15.09.1954;     29,71
01.10.1954;     29,67
15.10.1954;     29,70
01.11.1954;     29,65
15.11.1954;     29,64
01.12.1954;     29,67
15.12.1954;     29,69
01.01.1955;     29,80
15.01.1955;     29,87
01.02.1955;     29,90
15.02.1955;     29,93
01.03.1955;     29,95
15.03.1955;     29,94
01.04.1955;     30,08
15.04.1955;     30,17
01.05.1955;     30,20
15.05.1955;     30,26
01.06.1955;     30,15
15.06.1955;     30,31
01.07.1955;     30,20
15.07.1955;     30,21
01.08.1955;     30,16
15.08.1955;     30,01
01.09.1955;     30,11
15.09.1955;     30,04
01.10.1955;     29,99
15.10.1955;     30,00
01.11.1955;     29,96
15.11.1955;     29,93
01.12.1955;     29,91
15.12.1955;     29,94
01.01.1956;     30,05
15.01.1956;     30,20
01.02.1956;     30,27
15.02.1956;     30,25
01.03.1956;     30,20
15.03.1956;     30,25
01.07.1956;     30,80
01.10.1956;     30,45
15.10.1956;     30,39
01.11.1956;     30,53
15.11.1956;     30,41
01.12.1956;     30,45
01.01.1957;     30,42
15.01.1957;     30,60
01.02.1957;     30,60
15.02.1957;     30,71
01.03.1957;     30,73
15.03.1957;     30,71
01.04.1957;     30,77
15.04.1957;     30,72
01.05.1957;     30,71
15.05.1957;     30,61
01.06.1957;     30,56
15.06.1957;     30,26
01.07.1957;     30,37
15.07.1957;     30,34
01.08.1957;     30,33
15.08.1957;     30,29
01.09.1957;     30,24
15.09.1957;     30,23
01.10.1957;     30,13
15.10.1957;     30,12
01.11.1957;     30,08
15.11.1957;     30,03
01.12.1957;     30,03
15.12.1957;     30,01
01.01.1958;     30,06
15.01.1958;     30,14
01.02.1958;     30,21
15.02.1958;     30,24
01.03.1958;     30,33
15.03.1958;     30,44
01.04.1958;     30,44
15.04.1958;     30,38
01.05.1958;     30,35
15.05.1958;     30,32
01.06.1958;     30,25
15.06.1958;     30,23
