Messstelle 3241 9851, Grundwasserstand in m über NHN16
 
13.02.2008;     27,76
01.03.2008;     27,80
08.03.2008;     27,72
15.03.2008;     27,74
22.03.2008;     27,88
01.04.2008;     27,65
08.04.2008;     27,65
15.04.2008;     27,76
22.04.2008;     27,63
01.05.2008;     27,47
08.05.2008;     27,41
15.05.2008;     27,34
22.05.2008;     27,31
01.06.2008;     27,22
08.06.2008;     27,17
15.06.2008;     27,14
22.06.2008;     27,10
01.07.2008;     27,07
08.07.2008;     27,04
15.07.2008;     27,10
22.07.2008;     27,10
01.08.2008;     27,09
08.08.2008;     27,08
15.08.2008;     27,03
22.08.2008;     27,01
01.09.2008;     27,03
08.09.2008;     27,06
15.09.2008;     27,10
22.09.2008;     27,10
01.10.2008;     27,17
08.10.2008;     27,22
15.10.2008;     27,25
22.10.2008;     27,27
01.11.2008;     27,38
08.11.2008;     27,41
15.11.2008;     27,39
22.11.2008;     27,48
01.12.2008;     27,49
08.12.2008;     27,62
15.12.2008;     27,62
22.12.2008;     27,61
01.01.2009;     27,52
08.01.2009;     27,46
15.01.2009;     27,38
22.01.2009;     27,49
01.02.2009;     27,48
08.02.2009;     27,45
15.02.2009;     27,49
22.02.2009;     27,66
01.03.2009;     27,67
08.03.2009;     27,61
15.03.2009;     27,63
22.03.2009;     27,54
01.04.2009;     27,49
08.04.2009;     27,42
15.04.2009;     27,38
22.04.2009;     27,33
01.05.2009;     27,28
08.05.2009;     27,27
15.05.2009;     27,28
22.05.2009;     27,26
01.06.2009;     27,22
08.06.2009;     27,22
15.06.2009;     27,27
22.06.2009;     27,24
01.07.2009;     27,22
08.07.2009;     27,18
15.07.2009;     27,13
22.07.2009;     27,14
01.08.2009;     27,11
08.08.2009;     27,08
15.08.2009;     27,06
22.08.2009;     27,01
01.09.2009;     26,97
08.09.2009;     26,94
15.09.2009;     26,92
22.09.2009;     26,91
01.10.2009;     26,91
08.10.2009;     27,01
15.10.2009;     27,17
22.10.2009;     27,23
01.11.2009;     27,32
08.11.2009;     27,46
15.11.2009;     27,52
22.11.2009;     27,60
01.12.2009;     27,59
08.12.2009;     27,67
15.12.2009;     27,68
22.12.2009;     27,51
01.01.2010;     27,52
08.01.2010;     27,45
15.01.2010;     27,40
22.01.2010;     27,43
01.02.2010;     27,31
08.02.2010;     27,28
15.02.2010;     27,25
22.02.2010;     27,26
01.03.2010;     27,78
08.03.2010;     27,68
15.03.2010;     27,68
22.03.2010;     27,75
01.04.2010;     27,66
08.04.2010;     27,53
15.04.2010;     27,45
22.04.2010;     27,38
01.05.2010;     27,33
08.05.2010;     27,34
15.05.2010;     27,31
22.05.2010;     27,74
01.06.2010;     27,82
08.06.2010;     27,58
15.06.2010;     27,47
22.06.2010;     27,37
01.07.2010;     27,25
08.07.2010;     27,17
15.07.2010;     27,13
22.07.2010;     27,07
01.08.2010;     27,03
08.08.2010;     27,04
15.08.2010;     27,05
22.08.2010;     27,10
01.09.2010;     27,26
08.09.2010;     27,37
15.09.2010;     27,42
22.09.2010;     27,42
01.10.2010;     27,70
08.10.2010;     27,58
15.10.2010;     27,50
22.10.2010;     27,51
01.11.2010;     27,43
08.11.2010;     27,75
15.11.2010;     27,77
22.11.2010;     27,85
01.12.2010;     27,64
08.12.2010;     27,55
15.12.2010;     27,76
22.12.2010;     27,80
01.01.2011;     27,65
08.01.2011;     27,78
15.01.2011;     28,00
22.01.2011;     27,88
01.02.2011;     27,65
08.02.2011;     27,90
15.02.2011;     27,78
22.02.2011;     27,56
01.03.2011;     27,46
08.03.2011;     27,44
15.03.2011;     27,48
22.03.2011;     27,49
01.04.2011;     27,39
08.04.2011;     27,42
15.04.2011;     27,37
22.04.2011;     27,33
01.05.2011;     27,28
08.05.2011;     27,25
15.05.2011;     27,22
22.05.2011;     27,23
01.06.2011;     27,20
08.06.2011;     27,18
15.06.2011;     27,18
22.06.2011;     27,23
01.07.2011;     27,26
08.07.2011;     27,47
15.07.2011;     27,66
22.07.2011;     27,64
01.08.2011;     27,97
08.08.2011;     27,71
15.08.2011;     27,67
01.09.2011;     27,55
08.09.2011;     27,63
15.09.2011;     27,55
22.09.2011;     27,47
01.10.2011;     27,36
08.10.2011;     27,32
15.10.2011;     27,44
22.10.2011;     27,40
01.11.2011;     27,32
08.11.2011;     27,29
15.11.2011;     27,26
22.11.2011;     27,25
01.12.2011;     27,24
08.12.2011;     27,27
15.12.2011;     27,41
22.12.2011;     27,61
01.01.2012;     27,69
08.01.2012;     27,77
15.01.2012;     27,69
22.01.2012;     27,87
01.02.2012;     27,63
08.02.2012;     27,49
15.02.2012;     27,44
22.02.2012;     27,58
01.03.2012;     27,58
08.03.2012;     27,57
15.03.2012;     27,48
22.03.2012;     27,43
01.04.2012;     27,36
08.04.2012;     27,33
15.04.2012;     27,37
22.04.2012;     27,32
01.05.2012;     27,27
08.05.2012;     27,24
15.05.2012;     27,22
22.05.2012;     27,18
01.06.2012;     27,12
08.06.2012;     27,14
15.06.2012;     27,18
22.06.2012;     27,18
01.07.2012;     27,23
08.07.2012;     27,19
15.07.2012;     27,18
22.07.2012;     27,23
01.08.2012;     27,31
08.08.2012;     27,29
15.08.2012;     27,26
01.09.2012;     27,21
08.09.2012;     27,13
15.09.2012;     27,12
22.09.2012;     27,10
01.10.2012;     27,15
08.10.2012;     27,27
15.10.2012;     27,32
22.10.2012;     27,31
01.11.2012;     27,32
08.11.2012;     27,35
15.11.2012;     27,32
22.11.2012;     27,31
01.12.2012;     27,35
08.12.2012;     27,37
15.12.2012;     27,34
22.12.2012;     27,52
01.01.2013;     27,60
08.01.2013;     27,74
15.01.2013;     27,76
22.01.2013;     27,60
01.02.2013;     27,83
08.02.2013;     27,90
15.02.2013;     27,76
22.02.2013;     27,69
01.03.2013;     27,69
08.03.2013;     27,59
15.03.2013;     27,52
22.03.2013;     27,48
01.04.2013;     27,50
08.04.2013;     27,67
15.04.2013;     27,59
22.04.2013;     27,45
01.05.2013;     27,38
08.05.2013;     27,34
15.05.2013;     27,35
22.05.2013;     27,32
01.06.2013;     27,48
08.06.2013;     27,40
15.06.2013;     27,31
22.06.2013;     27,38
01.07.2013;     27,34
08.07.2013;     27,33
15.07.2013;     27,26
22.07.2013;     27,20
01.08.2013;     27,14
08.08.2013;     27,12
15.08.2013;     27,13
01.09.2013;     27,11
08.09.2013;     27,11
15.09.2013;     27,16
22.09.2013;     27,24
01.10.2013;     27,28
08.10.2013;     27,29
15.10.2013;     27,48
22.10.2013;     27,55
01.11.2013;     27,49
08.11.2013;     27,62
15.11.2013;     27,59
22.11.2013;     27,72
01.12.2013;     27,70
08.12.2013;     27,79
15.12.2013;     27,73
22.12.2013;     27,62
01.01.2014;     27,60
08.01.2014;     27,72
15.01.2014;     27,60
22.01.2014;     27,57
01.02.2014;     27,45
08.02.2014;     27,49
15.02.2014;     27,49
22.02.2014;     27,44
01.03.2014;     27,41
08.03.2014;     27,35
15.03.2014;     27,33
22.03.2014;     27,34
01.04.2014;     27,28
08.04.2014;     27,26
15.04.2014;     27,26
22.04.2014;     27,24
01.05.2014;     27,21
08.05.2014;     27,20
15.05.2014;     27,19
22.05.2014;     27,22
01.06.2014;     27,24
08.06.2014;     27,23
15.06.2014;     27,25
22.06.2014;     27,21
01.07.2014;     27,27
08.07.2014;     27,21
15.07.2014;     27,21
22.07.2014;     27,17
15.08.2014;     27,24
22.08.2014;     27,30
01.09.2014;     27,20
08.09.2014;     27,17
15.09.2014;     27,19
22.09.2014;     27,20
01.10.2014;     27,20
08.10.2014;     27,22
15.10.2014;     27,26
22.10.2014;     27,28
01.11.2014;     27,31
08.11.2014;     27,31
15.11.2014;     27,30
22.11.2014;     27,28
01.12.2014;     27,31
08.12.2014;     27,32
15.12.2014;     27,35
22.12.2014;     27,47
01.01.2015;     27,54
08.01.2015;     27,50
15.01.2015;     27,75
22.01.2015;     27,67
01.02.2015;     27,78
08.02.2015;     27,72
15.02.2015;     27,60
22.02.2015;     27,53
01.03.2015;     27,52
08.03.2015;     27,55
15.03.2015;     27,46
22.03.2015;     27,42
01.04.2015;     27,55
08.04.2015;     27,46
15.04.2015;     27,40
22.04.2015;     27,35
01.05.2015;     27,33
08.05.2015;     27,31
15.05.2015;     27,29
22.05.2015;     27,25
01.06.2015;     27,20
08.06.2015;     27,16
15.06.2015;     27,13
22.06.2015;     27,13
01.07.2015;     27,12
08.07.2015;     27,08
15.07.2015;     27,07
22.07.2015;     27,12
01.08.2015;     27,15
08.08.2015;     27,10
15.08.2015;     27,05
22.08.2015;     27,16
01.09.2015;     27,20
22.09.2015;     27,27
01.10.2015;     27,23
08.10.2015;     27,20
15.10.2015;     27,25
22.10.2015;     27,42
01.11.2015;     27,44
08.11.2015;     27,36
15.11.2015;     27,48
22.11.2015;     27,59
01.12.2015;     27,77
08.12.2015;     27,71
15.12.2015;     27,72
22.12.2015;     27,80
01.01.2016;     27,58
08.01.2016;     27,49
15.01.2016;     27,60
22.01.2016;     27,50
01.02.2016;     27,67
08.02.2016;     27,58
15.02.2016;     27,52
22.02.2016;     27,69
01.03.2016;     27,59
08.03.2016;     27,54
15.03.2016;     27,44
22.03.2016;     27,41
01.04.2016;     27,38
08.04.2016;     27,35
15.04.2016;     27,31
22.04.2016;     27,29
01.05.2016;     27,25
08.05.2016;     27,22
15.05.2016;     27,20
22.05.2016;     27,17
01.06.2016;     27,15
08.06.2016;     27,12
15.06.2016;     27,10
22.06.2016;     27,11
01.07.2016;     27,08
08.07.2016;     27,06
15.07.2016;     27,05
22.07.2016;     27,04
01.08.2016;     27,09
08.08.2016;     27,11
15.08.2016;     27,10
22.08.2016;     27,09
08.09.2016;     27,11
15.09.2016;     27,09
22.09.2016;     27,07
01.10.2016;     27,05
08.10.2016;     27,12
15.10.2016;     27,17
22.10.2016;     27,21
01.11.2016;     27,27
08.11.2016;     27,27
15.11.2016;     27,27
22.11.2016;     27,32
01.12.2016;     27,30
08.12.2016;     27,30
15.12.2016;     27,38
22.12.2016;     27,39
01.01.2017;     27,51
08.01.2017;     27,50
15.01.2017;     27,56
22.01.2017;     27,46
01.02.2017;     27,39
08.02.2017;     27,44
15.02.2017;     27,35
22.02.2017;     27,42
01.03.2017;     27,52
08.03.2017;     27,54
15.03.2017;     27,51
22.03.2017;     27,60
01.04.2017;     27,47
08.04.2017;     27,38
15.04.2017;     27,35
22.04.2017;     27,32
01.05.2017;     27,29
08.05.2017;     27,28
15.05.2017;     27,26
22.05.2017;     27,23
01.06.2017;     27,18
08.06.2017;     27,18
15.06.2017;     27,17
22.06.2017;     27,14
01.07.2017;     27,88
08.07.2017;     27,93
15.07.2017;     27,83
22.07.2017;     27,65
01.08.2017;     28,04
08.08.2017;     27,78
15.08.2017;     28,13
22.08.2017;     27,91
01.09.2017;     27,68
08.09.2017;     27,55
15.09.2017;     27,56
22.09.2017;     27,47
01.10.2017;     27,46
08.10.2017;     27,71
15.10.2017;     27,64
22.10.2017;     27,56
01.11.2017;     27,78
08.11.2017;     27,76
15.11.2017;     27,67
22.11.2017;     27,70
01.12.2017;     27,72
08.12.2017;     27,73
15.12.2017;     27,88
22.12.2017;     27,72
01.01.2018;     27,58
08.01.2018;     27,70
15.01.2018;     27,68
22.01.2018;     27,67
01.02.2018;     27,73
08.02.2018;     27,54
15.02.2018;     27,46
22.02.2018;     27,39
01.07.2018;     27,00
08.07.2018;     26,97
15.07.2018;     26,96
22.07.2018;     26,94
01.08.2018;     26,91
08.08.2018;     26,97
15.08.2018;     26,93
22.08.2018;     26,90
01.09.2018;     26,88
08.09.2018;     26,87
15.09.2018;     26,86
22.09.2018;     26,85
01.10.2018;     26,92
08.10.2018;     26,95
14.10.2018;     26,98
15.10.2018;     26,98
22.10.2018;     27,01
01.11.2018;     27,07
08.11.2018;     27,10
15.11.2018;     27,12
22.11.2018;     27,15
01.12.2018;     27,18
08.12.2018;     27,20
15.12.2018;     27,22
22.12.2018;     27,23
01.01.2019;     27,27
08.01.2019;     27,29
15.01.2019;     27,35
22.01.2019;     27,31
01.02.2019;     27,33
08.02.2019;     27,31
15.02.2019;     27,36
22.02.2019;     27,33
01.03.2019;     27,32
08.03.2019;     27,34
15.03.2019;     27,48
22.03.2019;     27,47
01.04.2019;     27,42
08.04.2019;     27,34
15.04.2019;     27,29
22.04.2019;     27,25
01.05.2019;     27,23
08.05.2019;     27,21
15.05.2019;     27,18
22.05.2019;     27,20
01.06.2019;     27,16
08.06.2019;     27,10
15.06.2019;     27,13
22.06.2019;     27,10
01.07.2019;     27,02
08.07.2019;     26,98
15.07.2019;     26,96
22.07.2019;     26,94
01.08.2019;     26,95
08.08.2019;     26,90
15.08.2019;     26,88
22.08.2019;     26,85
01.09.2019;     26,81
08.09.2019;     26,78
15.09.2019;     26,76
22.09.2019;     26,74
01.10.2019;     26,78
08.10.2019;     26,90
15.10.2019;     26,94
22.10.2019;     27,01
01.11.2019;     27,07
08.11.2019;     27,15
15.11.2019;     27,24
22.11.2019;     27,30
01.12.2019;     27,34
08.12.2019;     27,39
15.12.2019;     27,46
22.12.2019;     27,47
01.01.2020;     27,44
08.01.2020;     27,49
15.01.2020;     27,52
22.01.2020;     27,47
01.02.2020;     27,57
08.02.2020;     27,57
15.02.2020;     27,57
22.02.2020;     27,58
01.03.2020;     27,70
08.03.2020;     27,66
15.03.2020;     27,67
22.03.2020;     27,54
01.04.2020;     27,46
08.04.2020;     27,40
15.04.2020;     27,35
22.04.2020;     27,31
01.05.2020;     27,29
09.05.2020;     27,30
15.05.2020;     27,29
22.05.2020;     27,24
01.06.2020;     27,20
08.06.2020;     27,16
15.06.2020;     27,15
22.06.2020;     27,21
01.07.2020;     27,18
08.07.2020;     27,13
15.07.2020;     27,12
22.07.2020;     27,09
01.08.2020;     27,05
08.08.2020;     27,01
15.08.2020;     26,97
22.08.2020;     26,94
01.09.2020;     26,91
08.09.2020;     26,91
15.09.2020;     26,90
22.09.2020;     26,88
